,ICD9_Code,CUI,name
1002,63.3,C0177121,Excision of other lesion or tissue of spermatic cord and epididymis
1003,63.4,C0194890,Epididymectomy
1004,64.0,C0008819,Circumcision
1005,64.2,C0177139,Local excision or destruction of lesion of penis
1006,64.42,C0177141,Release of chordee
1007,66,C0195463,Operations on fallopian tubes
1008,68.1,C0200038,Diagnostic procedures on uterus and supporting structures
1009,682.2,C0157698,Cellulitis and abscess of trunk
1010,682.3,C0157699,Cellulitis and abscess of upper arm and forearm
1011,682.6,C0157702,"Cellulitis and abscess of leg, except foot"
1012,682.7,C0406089,"Cellulitis and abscess of foot, except toes"
1013,692.74,C0375484,Other chronic dermatitis due to solar radiation
1014,692.9,C0375487,"Contact dermatitis and other eczema, unspecified cause"
1015,695.9,C0041834,Unspecified erythematous condition
1016,697.8,C0868870,"Other lichen, not elsewhere classified"
1017,698.3,C0023654,Lichenification and lichen simplex chronicus
1018,700,C0157726,Corns and callosities
1019,701.1,C0022581,"Keratoderma, acquired"
1020,701.4,C0022548,Keloid scar
1021,701.5,C0157729,Other abnormal granulation tissue
1022,701.8,C0029805,Other specified hypertrophic and atrophic conditions of skin
1023,701.9,C0041847,Unspecified hypertrophic and atrophic conditions of skin
1024,702.0,C0022602,Actinic keratosis
1025,702.11,C0376117,Inflamed seborrheic keratosis
1026,702.19,C0375488,Other seborrheic keratosis
1027,703.0,C0027343,Ingrowing nail
1028,703.2,,
1029,704.8,C0029769,Other specified diseases of hair and hair follicles
1030,705.1,C0026113,Prickly heat
1031,705.4,,
1032,705.83,C0085160,Hidradenitis
1033,706.2,C0014511,Sebaceous cyst
1034,707.0,C0011127,Pressure ulcer
1035,707.03,C1456141,"Pressure ulcer, lower back"
1036,707.07,C0558158,"Pressure ulcer, heel"
1037,707.09,C1456142,"Pressure ulcer, other site"
1038,707.1,C2349630,"Ulcer of lower limbs, except pressure ulcer"
1039,707.10,C0878700,"Ulcer of lower limb, unspecified"
1040,707.11,C0878701,Ulcer of thigh
1041,707.12,C0577719,Ulcer of calf
1042,707.13,C0741085,Ulcer of ankle
1043,707.14,C0878702,Ulcer of heel and midfoot
1044,707.15,C0878703,Ulcer of other part of foot
1045,707.19,C0878704,Ulcer of other part of lower limb
1046,707.23,C2074668,"Pressure ulcer, stage III"
1047,707.24,C2074669,"Pressure ulcer, stage IV"
1048,707.8,C0157740,Chronic ulcer of other specified sites
1049,709.00,C0151907,"Dyschromia, unspecified"
1050,709.8,C0029788,Other specified disorders of skin
1051,709.9,C0178298,Unspecified disorder of skin and subcutaneous tissue
1052,710.1,C0036421,Systemic sclerosis
1053,712.21,C0409871,"Chondrocalcinosis, due to pyrophosphate crystals, shoulder region"
1054,714.0,C0003873,Rheumatoid arthritis
1055,715.18,C0701814,"Osteoarthrosis, localized, primary, other specified sites"
1056,715.31,C0157948,"Osteoarthrosis, localized, not specified whether primary or secondary, shoulder region"
1057,715.35,C0157952,"Osteoarthrosis, localized, not specified whether primary or secondary, pelvic region and thigh"
1058,715.36,C0157953,"Osteoarthrosis, localized, not specified whether primary or secondary, lower leg"
1059,715.37,C0157954,"Osteoarthrosis, localized, not specified whether primary or secondary, ankle and foot"
1060,715.90,C0157959,"Osteoarthrosis, unspecified whether generalized or localized, site unspecified"
1061,715.91,C0157960,"Osteoarthrosis, unspecified whether generalized or localized, shoulder region"
1062,715.94,C0157963,"Osteoarthrosis, unspecified whether generalized or localized, hand"
1063,715.96,C0157965,"Osteoarthrosis, unspecified whether generalized or localized, lower leg"
1064,716.90,C0022408,"Arthropathy, unspecified, site unspecified"
1065,716.91,C0158044,"Arthropathy, unspecified, shoulder region"
1066,716.96,C0158049,"Arthropathy, unspecified, lower leg"
1067,716.97,C0158050,"Arthropathy, unspecified, ankle and foot"
1068,717.2,C0158056,Derangement of posterior horn of medial meniscus
1069,717.3,C0158057,Other and unspecified derangement of medial meniscus
1070,717.40,C0158058,"Derangement of lateral meniscus, unspecified"
1071,717.42,C0158060,Derangement of anterior horn of lateral meniscus
1072,717.43,C0158061,Derangement of posterior horn of lateral meniscus
1073,717.49,C0158062,Other derangement of lateral meniscus
1074,717.6,C0343161,Loose body in knee
1075,717.7,C0008475,Chondromalacia of patella
1076,718.01,C0263793,"Articular cartilage disorder, shoulder region"
1077,718.11,C0158082,"Loose body in joint, shoulder region"
1078,718.47,C1963664,"Contracture of joint, ankle and foot"
1079,718.91,C0409278,"Unspecified derangement of joint, shoulder region"
1080,719.06,C0158155,"Effusion of joint, lower leg"
1081,719.26,C0409774,"Villonodular synovitis, lower leg"
1082,719.43,C0838224,"Pain in joint, forearm"
1083,719.45,C0838226,"Pain in joint, pelvic region and thigh"
1084,719.46,C0838227,"Pain in joint, lower leg"
1085,719.49,C0162296,"Pain in joint, multiple sites"
1086,719.61,C0158206,"Other symptoms referable to joint, shoulder region"
1087,719.86,C0158227,"Other specified disorders of joint, lower leg"
1088,721.0,C0158241,Cervical spondylosis without myelopathy
1089,721.1,C0158242,Cervical spondylosis with myelopathy
1090,721.3,C0158244,Lumbosacral spondylosis without myelopathy
1091,721.90,C0263851,"Spondylosis of unspecified site, without mention of myelopathy"
1092,722.10,C0158255,Displacement of lumbar intervertebral disc without myelopathy
1093,722.52,C0158265,Degeneration of lumbar or lumbosacral intervertebral disc
1094,722.73,C0158270,"Intervertebral disc disorder with myelopathy, lumbar region"
1095,722.83,C0158274,"Postlaminectomy syndrome, lumbar region"
1096,722.93,C0158278,"Other and unspecified disc disorder, lumbar region"
1097,723.0,C0158280,Spinal stenosis in cervical region
1098,723.1,C0007859,Cervicalgia
1099,723.4,C1442952,Brachial neuritis or radiculitis NOS
1100,724.02,C2921108,"Spinal stenosis, lumbar region, without neurogenic claudication"
1101,724.1,C0677061,Pain in thoracic spine
1102,724.2,C0024031,Lumbago
1103,724.4,C0158291,"Thoracic or lumbosacral neuritis or radiculitis, unspecified"
1104,724.6,C0158292,Disorders of sacrum
1105,724.8,C0158297,Other symptoms referable to back
1106,725,C0032533,Polymyalgia rheumatica
1107,726.0,C0311223,Adhesive capsulitis of shoulder
1108,726.10,C0158302,"Disorders of bursae and tendons in shoulder region, unspecified"
1109,726.2,C0869438,"Other affections of shoulder region, not elsewhere classified"
1110,726.33,C0263962,Olecranon bursitis
1111,726.5,C0158312,Enthesopathy of hip region
1112,726.65,C0851258,Prepatellar bursitis
1113,726.90,C0242490,Enthesopathy of unspecified site
1114,726.91,C1442903,Exostosis of unspecified site
1115,727.00,C0039104,"Synovitis and tenosynovitis, unspecified"
1116,727.1,C0006386,Bunion
1117,727.51,C0032650,Synovial cyst of popliteal space
1118,727.61,C0410017,Complete rupture of rotator cuff
1119,727.62,C0158342,Nontraumatic rupture of tendons of biceps (long head)
1120,727.81,C0158350,Contracture of tendon (sheath)
1121,728.85,C0037763,Spasm of muscle
1122,728.86,C0238124,Necrotizing fasciitis
1123,728.88,C0035410,Rhabdomyolysis
1124,729.1,C0026893,"Myalgia and myositis, unspecified"
1125,729.2,C0347894,"Neuralgia, neuritis, and radiculitis, unspecified"
1126,729.5,C0030196,Pain in limb
1127,729.81,C0158369,Swelling of limb
1128,729.89,C0029669,Other musculoskeletal symptoms referable to limbs
1129,730.05,C1963552,"Acute osteomyelitis, pelvic region and thigh"
1130,730.07,C0264039,"Acute osteomyelitis, ankle and foot"
1131,730.08,C0410385,"Acute osteomyelitis, other specified sites"
1132,730.17,C0264049,"Chronic osteomyelitis, ankle and foot"
1133,730.27,C0158396,"Unspecified osteomyelitis, ankle and foot"
1134,730.28,C0410376,"Unspecified osteomyelitis, other specified sites"
1135,731.8,C0158440,Other bone involvement in diseases classified elsewhere
1136,732.7,C0029421,Osteochondritis dissecans
1137,733.00,C0029456,"Osteoporosis, unspecified"
1138,733.13,C0302491,Pathologic fracture of vertebrae
1139,733.19,C0375509,Pathologic fracture of other specified site
1140,733.49,C0158452,"Aseptic necrosis of bone, other"
1141,733.82,C0016665,Nonunion of fracture
1142,733.92,C0085700,Chondromalacia
1143,735.0,C0158458,Hallux valgus (acquired)
1144,735.4,C0477572,Other hammer toe (acquired)
1145,736.00,C0041784,"Unspecified deformity of forearm, excluding fingers"
1146,736.72,C0158490,"Equinus deformity of foot, acquired"
1147,738.4,C2242765,Acquired spondylolisthesis
1148,743.65,C0158577,Specified congenital anomalies of lacrimal passages
1149,746.85,C0158623,Coronary artery anomaly
1150,75.71,,
1151,75.76,,
1152,752.51,C0010417,Undescended testis
1153,753.10,C0311245,"Cystic kidney disease, unspecified"
1154,753.3,C0478058,Other specified anomalies of kidney
1155,76.64,C0177312,Other orthognathic surgery on mandible
1156,77.28,C0188601,"Wedge osteotomy, tarsals and metatarsals"
1157,77.51,C0188585,Bunionectomy with soft tissue correction and osteotomy of the first metatarsal
1158,77.53,C0188743,Other bunionectomy with soft tissue correction
1159,77.56,C0188725,Repair of hammer toe
1160,77.59,C0177355,Other bunionectomy
1161,77.61,C0177357,"Local excision of lesion or tissue of bone, scapula, clavicle, and thorax [ribs and sternum]"
1162,77.62,C0186485,"Local excision of lesion or tissue of bone, humerus"
1163,77.63,C0186550,"Local excision of lesion or tissue of bone, radius and ulna"
1164,77.65,C0187857,"Local excision of lesion or tissue of bone, femur"
1165,77.66,C0187893,"Local excision of lesion or tissue of bone, patella"
1166,77.67,C0187936,"Local excision of lesion or tissue of bone, tibia and fibula"
1167,77.79,C0177362,"Excision of bone for graft, other bones"
1168,77.81,C0177364,"Other partial ostectomy, scapula, clavicle, and thorax [ribs and sternum]"
1169,77.82,C0177365,"Other partial ostectomy, humerus"
1170,77.83,C0177366,"Other partial ostectomy, radius and ulna"
1171,77.85,C0177368,"Other partial ostectomy, femur"
1172,77.88,C0177371,"Other partial ostectomy, tarsals and metatarsals"
1173,77.89,C0177372,"Other partial ostectomy, other bones"
1174,78.59,C0177418,"Internal fixation of bone without fracture reduction, other bones"
1175,78.61,C0177421,"Removal of implanted devices from bone, scapula, clavicle, and thorax [ribs and sternum]"
1176,78.65,C0177425,"Removal of implanted devices from bone, femur"
1177,78.68,C0177428,"Removal of implanted devices from bone, tarsals and metatarsals"
1178,78.75,C0188292,"Osteoclasis, femur"
1179,780.02,C0221539,Transient alteration of awareness
1180,780.09,C0221540,Other alteration of consciousness
1181,780.2,C0039070,Syncope and collapse
1182,780.39,C0490011,Other convulsions
1183,780.4,C0476206,Dizziness and giddiness
1184,780.52,C0917801,"Insomnia, unspecified"
1185,780.53,C1561815,"Hypersomnia with sleep apnea, unspecified"
1186,780.57,C0037315,Unspecified sleep apnea
1187,780.6,C2349675,Fever and other physiologic disturbances of temperature regulation
1188,780.79,C0695252,Other malaise and fatigue
1189,780.9,C0029625,Other general symptoms
1190,780.97,C0278061,Altered mental status
1191,780.99,C0029625,Other general symptoms
1192,781.0,C0392702,Abnormal involuntary movements
1193,781.2,C0575081,Abnormality of gait
1194,781.92,C0231471,Abnormal posture
1195,781.94,C0427055,Facial weakness
1196,781.99,C0159036,Other symptoms involving nervous and musculoskeletal systems
1197,782.0,C0012766,Disturbance of skin sensation
1198,782.1,C0015230,Rash and other nonspecific skin eruption
1199,782.3,C0013604,Edema
1200,782.4,C0476232,"Jaundice, unspecified, not of newborn"
1201,782.5,C0010520,Cyanosis
1202,783.21,C1262477,Loss of weight
1203,783.4,C0878753,Lack of expected normal physiological development in childhood
1204,784.0,C0018681,Headache
1205,784.41,C0003564,Aphonia
1206,784.5,C0478144,Other speech disturbance
1207,785,C0159049,Symptoms involving cardiovascular system
1208,785.4,C0017086,Gangrene
1209,785.50,C0036974,"Shock, unspecified"
1210,785.51,C0036980,Cardiogenic shock
1211,785.52,C0036983,Septic shock
1212,785.59,C0029737,Other shock without mention of trauma
1213,785.6,C0497156,Enlargement of lymph nodes
1214,785.9,C0029854,Other symptoms involving cardiovascular system
1215,786.05,C0013404,Shortness of breath
1216,786.09,C0029601,Other respiratory abnormalities
1217,786.3,C0019079,Hemoptysis
1218,786.50,C0008031,"Chest pain, unspecified"
1219,786.51,C0232286,Precordial pain
1220,786.52,C0423729,Painful respiration
1221,786.59,C0029537,Other chest pain
1222,787.01,C0027498,Nausea with vomiting
1223,787.02,C0375548,Nausea alone
1224,787.03,C0728950,Vomiting alone
1225,787.2,C0011168,Dysphagia
1226,787.3,C0016205,"Flatulence, eructation, and gas pain"
1227,787.91,C0011991,Diarrhea
1228,788.20,C0080274,"Retention of urine, unspecified"
1229,788.5,C0028962,Oliguria and anuria
1230,788.69,C0159063,Other abnormality of urination
1231,789.00,C0000737,"Abdominal pain, unspecified site"
1232,789.02,C0238552,"Abdominal pain, left upper quadrant"
1233,789.05,C1096624,"Abdominal pain, periumbilic"
1234,789.06,C0232493,"Abdominal pain, epigastric"
1235,789.09,C0375555,"Abdominal pain, other specified site"
1236,789.5,C0003962,Ascites
1237,789.59,C1955521,Other ascites
1238,789.62,C0238566,"Abdominal tenderness, left upper quadrant"
1239,79.01,C0392808,"Closed reduction of fracture without internal fixation, humerus"
1240,79.06,C1455880,"Closed reduction of fracture without internal fixation, tibia and fibula"
1241,79.24,C0177459,"Open reduction of fracture without internal fixation, phalanges of hand"
1242,79.34,C0187501,"Open reduction of fracture with internal fixation, phalanges of hand"
1243,79.35,C0188109,"Open reduction of fracture with internal fixation, femur"
1244,79.63,C0177470,"Debridement of open fracture site, carpals and metacarpals"
1245,79.64,C0187303,"Debridement of open fracture site, phalanges of hand"
1246,79.71,C0186986,Closed reduction of dislocation of shoulder
1247,790.2,C0580546,Abnormal glucose
1248,790.5,C0159072,Other nonspecific abnormal serum enzyme levels
1249,790.6,C0029481,Other abnormal blood chemistry
1250,790.7,C0004610,Bacteremia
1251,793.2,C0159088,Nonspecific (abnormal) findings on radiological and other examination of other intrathoracic organs
1252,793.5,C0476376,Nonspecific (abnormal) findings on radiological and other examination of genitourinary organs
1253,794.30,C0476409,"Abnormal cardiovascular function study, unspecified"
1254,794.31,C0236140,Nonspecific abnormal electrocardiogram [ECG] [EKG]
1255,794.39,C2711989,Other nonspecific abnormal results of function study of cardiovascular system
1256,796.2,C0392682,Elevated blood pressure reading without diagnosis of hypertension
1257,799.0,C1561822,Asphyxia and hypoxemia
1258,799.1,C0003578,Respiratory arrest
1259,799.3,C3714552,"Debility, unspecified"
1260,80.04,C2712589,"Arthrotomy for removal of prosthesis without replacement, hand and finger"
1261,80.05,C2712590,"Arthrotomy for removal of prosthesis without replacement, hip"
1262,80.06,C2712591,"Arthrotomy for removal of prosthesis without replacement, knee"
1263,80.07,C2712592,"Arthrotomy for removal of prosthesis without replacement, ankle"
1264,80.08,C2712593,"Arthrotomy for removal of prosthesis without replacement, foot and toe"
1265,80.11,C0177494,"Other arthrotomy, shoulder"
1266,80.16,C0177499,"Other arthrotomy, knee"
1267,80.18,C0177501,"Other arthrotomy, foot and toe"
1268,80.20,C0376070,"Arthroscopy, unspecified site"
1269,80.21,C0559702,"Arthroscopy, shoulder"
1270,80.26,C1304878,"Arthroscopy, knee"
1271,80.41,C0177508,"Division of joint capsule, ligament, or cartilage, shoulder"
1272,80.51,C0206078,Excision of intervertebral disc
1273,80.54,C2349715,Other and unspecified repair of the anulus fibrosus
1274,80.6,C0187901,Excision of semilunar cartilage of knee
1275,80.71,C0186418,"Synovectomy, shoulder"
1276,80.73,C0187195,"Synovectomy, wrist"
1277,80.74,C0177519,"Synovectomy, hand and finger"
1278,80.76,C0187903,"Synovectomy, knee"
1279,80.81,C0177522,"Other local excision or destruction of lesion of joint, shoulder"
1280,80.83,C0177524,"Other local excision or destruction of lesion of joint, wrist"
1281,80.86,C0177527,"Other local excision or destruction of lesion of joint, knee"
1282,80.96,C0177537,"Other excision of joint, knee"
1283,800.21,C0159160,"Closed fracture of vault of skull with subarachnoid, subdural, and extradural hemorrhage, with no loss of consciousness"
1284,801.01,C0159233,"Closed fracture of base of skull without mention of intra cranial injury, with no loss of consciousness"
1285,802.0,C0159322,Closed fracture of nasal bones
1286,802.4,C0009045,Closed fracture of malar and maxillary bones
1287,805.4,C0859697,Closed fracture of lumbar vertebra without mention of spinal cord injury
1288,806.21,C0435439,Closed fracture of T1-T6 level with complete lesion of cord
1289,807.00,C0435750,"Closed fracture of rib(s), unspecified"
1290,81.00,C0037935,"Spinal fusion, not otherwise specified"
1291,81.01,C0186005,Atlas-axis spinal fusion
1292,81.02,C0177542,"Other cervical fusion of the anterior column, anterior technique"
1293,81.07,C2921160,"Lumbar and lumbosacral fusion of the posterior column, posterior technique"
1294,81.08,C2921167,"Lumbar and lumbosacral fusion of the anterior column, posterior technique"
1295,81.16,C0188832,Metatarsophalangeal fusion
1296,81.45,C0177559,Other repair of the cruciate ligaments
1297,81.47,C0177561,Other repair of knee
1298,81.63,C1260382,Fusion or refusion of 4-8 vertebrae
1299,81.82,C0186659,Repair of recurrent dislocation of shoulder
1300,81.83,C0177571,Other repair of shoulder
1301,81.91,C0204854,Arthrocentesis
1302,81.92,C0177573,Injection of therapeutic substance into joint or ligament
1303,81.93,C0177574,Suture of capsule or ligament of upper extremity
1304,811.01,C0159669,Closed fracture of acromial process of scapula
1305,812.01,C0159680,Closed fracture of surgical neck of humerus
1306,813.41,C0009354,Closed Colles' fracture
1307,816.10,C0159796,"Open fracture of phalanx or phalanges of hand, unspecified"
1308,816.11,C0159798,Open fracture of middle or proximal phalanx or phalanges of hand
1309,816.12,C0159799,Open fracture of distal phalanx or phalanges of hand
1310,817.1,C0159803,Multiple open fractures of hand bones
1311,82.0,C0177578,"Incision of muscle, tendon, fascia, and bursa of hand"
1312,82.15,,
1313,82.2,C0177583,"Excision of lesion of muscle, tendon, and fascia of hand"
1314,82.27,,
1315,82.29,C0177584,Excision of other lesion of soft tissue of hand
1316,82.4,C0177589,"Suture of muscle, tendon, and fascia of hand"
1317,82.44,C0177592,Other suture of flexor tendon of hand
1318,82.45,C0177593,Other suture of other tendon of hand
1319,82.5,C0177595,Transplantation of muscle and tendon of hand
1320,82.55,C0177596,Other change in hand muscle or tendon length
1321,82.79,C0177606,Plastic operation on hand with other graft or implant
1322,82.91,C0187661,Lysis of adhesions of hand
1323,820.09,C0159815,Other closed transcervical fracture of neck of femur
1324,820.21,C0159824,Closed fracture of intertrochanteric section of neck of femur
1325,821.30,C0159844,"Open fracture of lower end of femur, unspecified part"
1326,824.4,C0392611,"Bimalleolar fracture, closed"
1327,83.13,C0177616,Other tenotomy
1328,83.14,C0185188,Fasciotomy
1329,83.3,C0177620,"Excision of lesion of muscle, tendon, fascia, and bursa"
1330,83.39,C0177621,Excision of lesion of other soft tissue
1331,83.42,C0177623,Other tenonectomy
1332,83.43,C0846400,Excision of muscle or fascia for graft
1333,83.45,C0177626,Other myectomy
1334,83.5,C0185298,Bursectomy
1335,83.6,C0177628,"Suture of muscle, tendon, and fascia"
1336,83.63,C0186666,Rotator cuff repair
1337,83.64,C0177629,Other suture of tendon
1338,83.65,C0177630,Other suture of muscle or fascia
1339,83.69,,
1340,83.8,C0177635,"Other plastic operations on muscle, tendon, and fascia"
1341,83.82,C0177636,Graft of muscle or fascia
1342,83.85,C0177637,Other change in muscle or tendon length
1343,831.01,C0159917,Closed anterior dislocation of humerus
1344,836.0,C1281729,"Tear of medial cartilage or meniscus of knee, current"
1345,836.1,C1281794,"Tear of lateral cartilage or meniscus of knee, current"
1346,839.03,C0160011,"Closed dislocation, third cervical vertebra"
1347,839.04,C0160012,"Closed dislocation, fourth cervical vertebra"
1348,839.05,C0160013,"Closed dislocation, fifth cervical vertebra"
1349,84.01,C0177646,Amputation and disarticulation of finger
1350,84.02,C0701842,Amputation and disarticulation of thumb
1351,84.11,C0188602,Amputation of toe
1352,84.15,C0177649,Other amputation below knee
1353,84.17,C0002691,Amputation above knee
1354,84.2,C0408884,Reattachment of extremity
1355,84.3,C0185432,Revision of amputation stump
1356,84.4,C0185505,Implantation or fitting of prosthetic limb device
1357,84.44,C0186562,Implantation of prosthetic device of arm
1358,840.4,C0434322,Rotator cuff (capsule) sprain
1359,840.7,C0949149,Superior glenoid labrum lesion
1360,840.8,C0160053,Sprains and strains of other specified sites of shoulder and upper arm
1361,842.10,C0160068,"Sprain of hand, unspecified site"
1362,844.2,C0160082,Sprain of cruciate ligament of knee
1363,845,C0160086,Sprains and strains of ankle and foot
1364,846.9,C0160105,Sprain of unspecified site of sacroiliac region
1365,847.0,C0027535,Sprain of neck
1366,847.2,C0160108,Sprain of lumbar
1367,85.02,,
1368,85.2,C0376083,Excision or destruction of breast tissue
1369,85.65,,
1370,85.9,C0177680,Other operations on the breast
1371,850.0,C0160121,Concussion with no loss of consciousness
1372,850.9,C0006107,"Concussion, unspecified"
1373,852.21,C0160239,"Subdural hemorrhage following injury without mention of open intracranial wound, with no loss of consciousness"
1374,86.04,C0177688,Other incision with drainage of skin and subcutaneous tissue
1375,86.05,C1455955,Incision with removal of foreign body or device from skin and subcutaneous tissue
1376,86.06,C0177690,Insertion of totally implantable infusion pump
1377,86.07,C0177691,Insertion of totally implantable vascular access device [VAD]
1378,86.09,C0177692,Other incision of skin and subcutaneous tissue
1379,86.11,C2921183,Closed biopsy of skin and subcutaneous tissue
1380,86.22,C0177697,"Excisional debridement of wound, infection, or burn"
1381,86.24,C0177699,Chemosurgery of skin
1382,86.27,C0191729,"Debridement of nail, nail bed, or nail fold"
1383,86.28,C0177701,"Nonexcisional debridement of wound, infection or burn"
1384,86.3,C0177702,Other local excision or destruction of lesion or tissue of skin and subcutaneous tissue
1385,86.4,C0191326,Radical excision of skin lesion
1386,86.59,C0994533,Closure of skin and subcutaneous tissue of other sites
1387,86.62,C0177706,Other skin graft to hand
1388,86.67,C0795778,Dermal regenerative graft
1389,86.69,C0029739,Other skin graft to other sites
1390,86.74,C0177713,Attachment of pedicle or flap graft to other sites
1391,86.75,C0177714,Revision of pedicle or flap graft
1392,86.89,C0177715,Other repair and reconstruction of skin and subcutaneous tissue
1393,86.91,C0191472,Excision of skin for graft
1394,860.0,C0347620,Traumatic pneumothorax without mention of open wound into thorax
1395,861.21,C0160329,Contusion of lung without mention of open wound into thorax
1396,863.99,C0160389,"Injury to other gastrointestinal sites, with open wound into cavity"
1397,865.01,C0160408,"Injury to spleen without mention of open wound into cavity, hematoma without rupture of capsule"
1398,865.03,C0160410,"Injury to spleen without mention of open wound into cavity, laceration extending into parenchyma"
1399,867.0,C0160432,"Injury to bladder and urethra, without mention of open wound into cavity"
1400,868.04,C0160448,"Injury to other intra-abdominal organs without mention of open wound into cavity, retroperitoneum"
1401,87.0,C0202678,"Soft tissue x-ray of face, head, and neck"
1402,87.03,C0202691,Computerized axial tomography of head
1403,87.11,C0202777,Full-mouth x-ray of teeth
1404,87.12,C0029572,Other dental x-ray
1405,87.21,C0026995,Contrast myelogram
1406,87.22,C0177727,Other x-ray of cervical spine
1407,87.23,C0177728,Other x-ray of thoracic spine
1408,87.24,C0177729,Other x-ray of lumbosacral spine
1409,87.3,C0202830,Soft tissue x-ray of thorax
1410,87.39,C0177733,Other soft tissue x-ray of chest wall
1411,87.41,C0202823,Computerized axial tomography of thorax
1412,87.43,C0202819,"X-ray of ribs, sternum, and clavicle"
1413,87.44,C0202784,"Routine chest x-ray, so described"
1414,87.49,C0177737,Other chest x-ray
1415,87.53,C0203083,Intraoperative cholangiogram
1416,87.54,C0029538,Other cholangiogram
1417,87.59,C0177740,Other biliary tract x-ray
1418,87.61,C0203065,Barium swallow
1419,87.66,C0009926,Contrast pancreatogram
1420,87.69,C0177743,Other digestive tract x-ray
1421,87.72,C0177745,Other nephrotomogram
1422,87.74,C0203110,Retrograde pyelogram
1423,87.75,C0177746,Percutaneous pyelogram
1424,87.77,C0177747,Other cystogram
1425,87.79,C0177749,Other x-ray of the urinary system
1426,873.0,C0273259,"Open wound of scalp, without mention of complication"
1427,873.20,C0273260,"Open wound of nose, unspecified site, without mention of complication"
1428,873.40,C0375654,"Open wound of face, unspecified site, without mention of complication"
1429,873.42,C0273268,"Open wound of forehead, without mention of complication"
1430,873.43,C0273270,"Open wound of lip, without mention of complication"
1431,873.44,C0273271,"Open wound of jaw, without mention of complication"
1432,873.60,C0375659,"Open wound of mouth, unspecified site, without mention of complication"
1433,873.63,C0375662,"Open wound of tooth (broken) (fractured) (due to trauma), without mention of complication"
1434,873.64,C0375663,"Open wound of tongue and floor of mouth, without mention of complication"
1435,873.69,C0490059,"Open wound of other and multiple sites of mouth, without mention of complication"
1436,873.8,C0160536,Other and unspecified open wound of head without mention of complication
1437,875.0,C0273313,"Open wound of chest (wall), without mention of complication"
1438,879.4,C0160577,"Open wound of abdominal wall, lateral, without mention of complication"
1439,879.8,C0273236,"Open wound(s) (multiple) of unspecified site(s), without mention of complication"
1440,88,C0412755,Other diagnostic radiology and related techniques
1441,88.01,C0412620,Computerized axial tomography of abdomen
1442,88.09,C0177763,Other soft tissue x-ray of abdominal wall
1443,88.19,C0029874,Other x-ray of abdomen
1444,88.22,C0203238,Skeletal x-ray of elbow and forearm
1445,88.23,C0203243,Skeletal x-ray of wrist and hand
1446,88.26,C0177771,Other skeletal x-ray of pelvis and hip
1447,88.35,C0177776,Other soft tissue x-ray of upper limb
1448,88.38,C0177779,Other computerized axial tomography
1449,88.41,C0007767,Arteriography of cerebral arteries
1450,88.42,C0003515,Aortography
1451,88.43,C0202910,Arteriography of pulmonary arteries
1452,88.44,C0177780,Arteriography of other intrathoracic vessels
1453,88.45,C0202930,Arteriography of renal arteries
1454,88.47,C0177782,Arteriography of other intra-abdominal arteries
1455,88.48,C0177783,Arteriography of femoral and other lower extremity arteries
1456,88.49,C0177784,Arteriography of other specified sites
1457,88.51,C0202968,Angiocardiography of venae cavae
1458,88.53,C0202857,Angiocardiography of left heart structures
1459,88.54,C0202858,Combined right and left heart angiocardiography
1460,88.55,C0202860,Coronary arteriography using a single catheter
1461,88.56,C0202861,Coronary arteriography using two catheters
1462,88.57,C0177789,Other and unspecified coronary arteriography
1463,88.6,C0031545,Phlebography
1464,88.60,C0376091,"Phlebography using contrast material, unspecified site"
1465,88.66,C0177795,Phlebography of femoral and other lower extremity veins using contrast material
1466,88.67,C0177796,Phlebography of other specified sites using contrast material
1467,88.7,C0041618,Diagnostic ultrasound
1468,88.71,C0011931,Diagnostic ultrasound of head and neck
1469,88.72,C0013516,Diagnostic ultrasound of heart
1470,88.75,C0203407,Diagnostic ultrasound of urinary system
1471,88.76,C0203474,Diagnostic ultrasound of abdomen and retroperitoneum
1472,88.77,C0412527,Diagnostic ultrasound of peripheral vascular system
1473,88.79,C0177800,Other diagnostic ultrasound
1474,88.91,C0412675,Magnetic resonance imaging of brain and brain stem
1475,88.93,C2454646,Magnetic resonance imaging of spinal canal
1476,88.94,C0202673,Magnetic resonance imaging of musculoskeletal
1477,88.97,C0024486,Magnetic resonance imaging of other and unspecified sites
1478,880.00,C0273354,"Open wound of shoulder region, without mention of complication"
1479,880.02,C0160587,"Open wound of axillary region, without mention of complication"
1480,881.00,C0160604,"Open wound of forearm, without mention of complication"
1481,881.01,C0160605,"Open wound of elbow, without mention of complication"
1482,881.20,C0160612,"Open wound of forearm, with tendon involvement"
1483,882.0,C0160616,"Open wound of hand except finger(s) alone, without mention of complication"
1484,883.0,C0273365,"Open wound of finger(s), without mention of complication"
1485,883.1,C0160621,"Open wound of finger(s), complicated"
1486,883.2,C0160622,"Open wound of finger(s), with tendon involvement"
1487,884.0,C0160623,"Multiple and unspecified open wound of upper limb, without mention of complication"
1488,885.0,C0433638,"Traumatic amputation of thumb (complete)(partial), without mention of complication"
1489,89.02,C0177807,"Interview and evaluation, described as limited"
1490,89.03,C0177808,"Interview and evaluation, described as comprehensive"
1491,89.04,C0177809,Other interview and evaluation
1492,89.06,C0199177,"Consultation, described as limited"
1493,89.14,C0013819,Electroencephalogram
1494,89.29,C0177820,Other nonoperative genitourinary system measurements
